School,ID,secular_date,coed_date,secular_link,coed_link,Early Funding,Funding Link
Robert Morris University,215655,NA,NA,NA,NA,,
Florida Institute of Technology,133881,NA,NA,NA,NA,,
Springfield College,167899,NA,NA,NA,NA,,
Hampton University,232265,NA,NA,NA,NA,,
Keiser University,135081,NA,NA,NA,NA,,
Nova Southeastern University,136215,NA,NA,NA,NA,,
Russell Sage College,195128,NA,NA,NA,NA,,
Widener University,216852,NA,NA,NA,NA,,
Maryville University of St. Louis,178059,NA,NA,NA,NA,,
Pace University,194310,NA,NA,NA,NA,,
Suffolk University,168005,NA,NA,NA,NA,,
University of Hartford,129525,NA,NA,NA,NA,,
Western New England University,168254,NA,NA,NA,NA,,
Wilkes University,216931,NA,NA,NA,NA,,
Point Park University,215442,NA,NA,NA,NA,,
University of New England,161457,1974,1967,https://en.wikipedia.org/wiki/University_of_New_England_(United_States)#History:~:text=the%20Franciscans%20withdrew%20from%20the%20administration%20of%20the%20college%20in%201974,https://en.wikipedia.org/wiki/University_of_New_England_(United_States)#History:~:text=The%20school%20became%20co%2Deducational%20for%20the%20first%20time%20in%201967,,
D'Youville University,190716,NA,NA,NA,NA,,
Lincoln Memorial University,220631,NA,NA,NA,NA,,
Regent University,231651,NA,NA,NA,NA,,
Alliant International University,110468,NA,NA,NA,NA,,
American International College,164447,NA,NA,NA,NA,,
Aurora University,143118,NA,NA,NA,NA,,
Brenau University,139199,NA,NA,NA,NA,,
Capitol Technology University,162061,NA,NA,NA,NA,,
Colorado Technical University,126827,NA,NA,NA,NA,,
Daemen University,190725,NA,NA,NA,NA,,
Dominican University New York,190761,NA,NA,NA,NA,,
Grand Canyon University,104717,NA,NA,NA,NA,,
Husson University,487524,NA,NA,NA,NA,,
Lesley University,166452,NA,NA,NA,NA,,
Long Island University,192448,1926,1926,https://liu.edu/about/history#:~:text=The%20university%20founders%20were%20committed%20to%20admitting%20students%20based%20on%20merit%20and%20promise%20alone%2C%20never%20impeding%20their%20enrollment%20because%20of%20their%20sex%2C%20race%2C%20religion%2C%20or%20national%20origin.,https://liu.edu/about/history#:~:text=The%20university%20founders%20were%20committed%20to%20admitting%20students%20based%20on%20merit%20and%20promise%20alone%2C%20never%20impeding%20their%20enrollment%20because%20of%20their%20sex%2C%20race%2C%20religion%2C%20or%20national%20origin.,,
National Louis University,147536,NA,NA,NA,NA,,
Roosevelt University,148487,NA,NA,NA,NA,,
South College,220552,NA,NA,NA,NA,,
Universidad Ana G. Mendez--Gurabo Campus,243601,NA,NA,NA,NA,,
University of Bridgeport,128744,NA,NA,NA,NA,,
University of Charleston,237312,NA,NA,NA,NA,,
University of Phoenix,484613,NA,NA,NA,NA,,
Wilmington University,131113,NA,NA,NA,NA,,
Wingate University,199962,NA,NA,NA,NA,,
Albizu University--Miami,132842,NA,NA,NA,NA,,
University of Massachusetts Global,262086,NA,NA,NA,NA,,
